"SampleID"	"PatientID"	"CellType"
"Unknown-carc_EC-3"	"Unknown-carc"	"EC-3"
"Unknown-carc_APOE+_MAMs"	"Unknown-carc"	"APOE+_MAMs"
"Unknown-carc_S100A8+_MAMs"	"Unknown-carc"	"S100A8+_MAMs"
"Unknown-carc_MSC-like-c1"	"Unknown-carc"	"MSC-like-c1"
"Unknown-carc_MSC-like-c2"	"Unknown-carc"	"MSC-like-c2"
"Unknown-carc_MTC"	"Unknown-carc"	"MTC"
"Unknown-carc_PC-1"	"Unknown-carc"	"PC-1"
"Unknown-carc_PC-2"	"Unknown-carc"	"PC-2"
"Unknown-carc_PC-3"	"Unknown-carc"	"PC-3"
"Unknown-carc_CM1_CD4+_T"	"Unknown-carc"	"CM1_CD4+_T"
"Unknown-carc_CM2_CD4+_T"	"Unknown-carc"	"CM2_CD4+_T"
"Unknown-carc_EM_CD8+_T"	"Unknown-carc"	"EM_CD8+_T"
"Unknown-carc_CM_T"	"Unknown-carc"	"CM_T"
"Unknown-carc_Treg"	"Unknown-carc"	"Treg"
"Unknown-carc_vSMCs"	"Unknown-carc"	"vSMCs"
