""	"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717_Tumor"
"ABCG4"	1	1.00323882031465	1	1	1	1	1	1.00075980771031
"GNB2"	2.15992109771022	2.49419001612523	1.78321608585734	2.09420676350878	2.84619363525626	2.09293667171264	2.28273402325018	2.70393332401927
"CFAP53"	1	1.00950090594425	1.01112820232173	1.05221763352791	1.03570327811709	1.00883258836946	1	1.03593956959202
"MCRIP2"	1.54279128350823	1.23555154001881	1.53346808192429	1	1.23993188340052	1.35951679443469	1.14651581774123	1.33073436951784
"C2CD2L"	1.11033200844589	1.0357762376967	1.02220244700479	1.02625586580147	1.0165884005735	1.05249483179234	1.01881503832228	1.02769538394234
"ARNT2"	1	1.14782497109625	1.02220244700479	1.05221763352791	1.13515398976593	1.00589220926999	1.09259917994258	1.10936783923255
"GNG12"	1	1.17455914056369	1.04419341245728	1.05221763352791	1.24286012772298	1.03512793573272	1.05599248002206	1.23799019869926
"PRSS27"	1.01875136121762	1.02998520364775	1.02220244700479	1	1.02987930702064	1.00294802018497	1	1.00783908427295
"CLP1"	1.09229048337548	1.10341856228249	1.07680138183895	1.05221763352791	1.08877925556981	1.06687086859881	1	1.08578866083406
"EFCAB3"	1	1.00323882031465	1	1	1.00937926043359	1	1.01881503832228	1.00379648928129
"TTC36"	1	1.00182240684219	1	1	1.00348825363216	1	1	1.00177248760041
"RSPH9"	1	1.00141755444778	1	1.10331196459953	1.03570327811709	1.00294802018497	1	1.00202558676
"COPS9"	1.82685241379787	2.19834498845547	1.91912196900621	2.11320648904	2.2254031872556	2.05877704842034	2.29582786032153	2.10469701530374
"GTPBP2"	1.03735115003241	1.02117116184595	1.05511221275439	1.10331196459953	1.03596765929378	1.03512793573272	1.05599248002206	1.03119648000761
"FGGY"	1.07411605506518	1.05048891534257	1.06598121821236	1.05221763352791	1.08048972130538	1.06113080574598	1.0374774866045	1.06321353708566
"IL17D"	1	1.08746466606565	1	1	1.06408675066532	1	1	1.02994669348287
"FUT9"	1	1.1055509394675	1	1.17805395916684	1.02324340700871	1	1	1
"TCEAL1"	1.16369854964191	1.30101380502218	1.30408148880098	1.52495462683663	1.3444594683094	1.19810625283986	1.46565824968577	1.21275492706905
"ZNF24"	1.16369854964191	1.57252750485091	1.27417348141347	1.52495462683663	1.60654054387532	1.40805926711139	1.52886570043667	1.68430919053154
"MANEA"	1.05580445098926	1.093702827132	1.08757362490966	1	1.05911785133071	1.04672005470974	1.12867068761362	1.11733907049862
"RAB40A"	1	1.00242954967257	1	1	1.00134227253958	1	1	1
"AFF1"	1.07411605506518	1.02357832121032	1.13020078765629	1.10331196459953	1.06304152148001	1.0783102129503	1.16423882068994	1.0434091564939
"FIBP"	1.66500241236709	1.76031123784329	1.54268778704566	1.67509665692279	1.72311975395312	1.55676331678872	1.65195307931661	1.88026951471436
"CARNS1"	1	1.01473974604842	1	1.52495462683663	1.00134227253958	1	1	1.00202558676
"BANP"	1.03735115003241	1.06392868120907	1.07680138183895	1.17805395916684	1.0846379942742	1.08116165213642	1.09259917994258	1.07133533112236
"PPP1CA"	2.02411111213133	1.81995387433608	2.04276681643303	1.77877216141762	1.59847678739355	2.01788351059177	1.87251667221033	1.86491852758703
"HCFC1"	1.1282446733515	1.13406681878126	1.04419341245728	1.07789884134369	1.10809942626343	1.09536929486467	1.05599248002206	1.10379711051397
"CTSW"	1.11033200844589	1.00020256222097	1.77457136060594	1	1.00026851828939	1.0754554318233	1	1.00025329762505
"SNTG2"	1	1.0008101399569	1	1	1	1	1	1
"PDE3A"	1	1.00101262958297	1	1.02625586580147	1.00161063145588	1.00294802018497	1	1.00480781279261
"RASGRP1"	1	1.00263189444058	1.01112820232173	1	1.03226359849793	1.00589220926999	1	1.01363777417244
"KLHL6"	1.09229048337548	1.00040510628282	1.11961159828863	1	1	1.11231156087585	1.07436485632772	1
