""	"Myeloid"	"Stroma"	"Tumor"
"NDUFB6"	2.05133298802436	2.13060774076103	2.16294322872493
"NDUFB7"	2.11745685608739	1.95176174617296	2.15163082336657
"NDUFB8"	2.6205498617834	2.65214727762576	2.52232989565833
"NDUFB9"	2.21286888556016	2.21355502915811	2.30289069235653
"NDUFC1"	1.84995809833034	1.74220996151053	1.80069010742854
"NDUFC2"	2.07696741889806	1.95474006441651	2.1468577839662
"NDUFC2-KCTD14"	1.02146117863218	1.02076004654974	1.03398150030983
"NDUFS1"	1.51885980442025	1.4915506375318	1.59808531809774
"NDUFS2"	2.2894868756561	2.20773219690908	2.40472588845607
"NDUFS3"	2.02382521756186	1.87925325260292	2.01076169201379
"NDUFS4"	1.93008222998642	1.68843555864022	1.8473719474721
"NDUFS5"	2.52585433533023	2.23781211420193	2.4565838663781
"NDUFS6"	1.776994551581	1.67490115986016	1.68432807455167
"NDUFS7"	2.34140663912838	2.51260748431296	2.34211213541721
"NDUFS8"	2.23718383782275	2.14096177367092	2.23126291998855
"NDUFV1"	2.383853745381	2.26119679729823	2.37404105053204
"NDUFV2"	2.2140409337643	2.18688188302542	2.2928470242814
"NDUFV3"	1.93485730361983	1.72007149630583	1.77661025404217
"NEAT1"	1.94102770959479	2.63712723247589	1.32706702372826
"NEB"	1.04877634607923	1.06269419423573	1.0418150046144
"NEBL"	1.00950973341026	1.00256580665045	1.06629747846401
"NEBL-AS1"	1.00491040168614	1	1.00366904010305
"NECAB1"	1.03701140036424	1.43683103937923	1.01904147125555
"NECAB2"	1.0879404738324	1.02396289041329	1.07110216880552
"NECAB3"	1.15096988101848	1.15784360993328	1.18086065482551
"NECAP1"	1.7525431941007	1.46054594573471	1.80757301891595
"NECAP2"	1.60632877500116	1.83421175658039	1.49790707090079
"NEDD1"	1.16124207231459	1.19391459630124	1.15046973379392
"NEDD4"	1.14057608672412	1.06778223297158	1.14918584876635
"NEDD4L"	1.103081287983	1.17872542060943	1.07742435072336
"NEDD8"	2.2730851438619	2.33417162733226	2.28120595462043
"NEDD8-MDP1"	1.03990586117273	1.02681236610534	1.02989226644936
"NEDD9"	1.54909495422201	2.07445781259721	1.38810781457565
"NEFH"	1.03460020783767	1.09845187277153	1.02721790121651
"NEFL"	1.30010188761034	1.01158697216017	1.01249231156316
"NEFM"	1.05925890225001	1.05899305080407	1.06507157929561
"NEGR1"	1.1833273597801	1.08031280007862	1.50146677497712
"NEGR1-IT1"	1.00086769783923	1	1.00864850683789
"NEIL1"	1.08380437554721	1.17108531263638	1.17637109379942
"NEIL2"	1.57514610231126	1.40642714802771	1.49636868299511
"NEIL3"	1.00850488827031	1.0071373288744	1.02493634812531
"NEK1"	1.33194826697164	1.3074846388645	1.45797054058022
"NEK10"	1.00451251016042	1	1.01344297268037
"NEK11"	1.05518689826851	1.05567334232616	1.07817240934511
"NEK2"	1.25816668013743	1.22959716866146	1.25365715723734
"NEK3"	1.16945781186744	1.30083172351799	1.13516683887383
"NEK4"	1.28610326195714	1.29311570616096	1.42100432335616
"NEK5"	1.669564455117	1.65402523385053	1.67236621315496
"NEK6"	1.91552337703339	1.86988051788325	1.42548336002779
"NEK7"	1.22419818613249	1.20807852832008	1.23069132296675
"NEK8"	1.17520645772695	1.1268818100463	1.1446097435547
"NEK9"	1.39648867485315	1.44981942718113	1.52849069222848
"NELFA"	1.5253354971337	1.33709607629035	1.62593644238026
"NELFB"	1.17837732200471	1.13505611340421	1.16912281098822
"NELFCD"	1.91920029003351	1.72576194977844	2.03474502024476
"NELFE"	2.11913204046056	2.05238282804514	2.25785967699223
"NELL1"	1.01152486273142	1	1.04224965574986
"NELL2"	1.01560608781199	1.02760600189581	1.19286412670569
"NEMF"	1.82394331494578	1.87482028568745	1.92066460613601
"NENF"	1.44059116043843	1.54630121862937	1.43191194631794
"NEO1"	1.18799850016732	1.30068557750453	1.24120740470732
"NES"	1.14034669975728	1.00864374249282	1.22599673994951
"NET1"	1.35530357288919	1.31867163610343	1.30055572664361
"NETO1"	1.32242305504042	1.02142198338521	1.32234688465153
"NETO2"	1.35655356372045	1.05985281850103	1.19502097599935
"NEU1"	1.6986809664352	1.94332683292575	1.62870053441071
"NEU3"	1.04886443273959	1.05380325299596	1.13221305686238
"NEU4"	1.977429835053	1.18061876176017	2.24022100512787
"NEURL"	1.02464007242707	1.01603075622802	1.01776908480869
"NEURL1B"	1.1537655973277	1.01066799717565	1.06619068373885
"NEURL2"	1.21675544729068	1.60269272255969	1.20062093593645
"NEURL3"	1.00524991911297	1.00432430795732	1.00580384776663
"NEURL4"	1.16648280970702	1.13495554704231	1.19737738659778
"NEUROD1"	1.14718077338353	1.00838784729304	1.25141668586348
"NEUROD2"	1.00243322308439	1.00191484622519	1.00262826914274
"NEUROD4"	1.0408677046937	1	1.01722402975671
"NEUROD6"	1.00836656528935	1	1.00257251107582
"NEUROG1"	1	1	1.00180324267509
"NEUROG2"	1.00036508301146	1	1.00038254317877
"NEUROG3"	1.03066522326479	1.00612808306191	1.00186644343981
"NEXN"	1.03163075739514	1.0272224389493	1.03113228325676
"NF1"	1.44079239725207	1.34970248026681	1.57690215796261
"NF1P2"	1.00547949532226	1	1.00152738706461
"NF2"	2.00053756194214	1.70416500666604	2.02018127753051
"NFAM1"	1.11973348977841	1.40823815801923	1.06022827210381
"NFASC"	1.40074594870566	1.51845651314143	1.56211958999681
"NFAT5"	1.55778721318769	1.58140927834424	1.7143628621157
"NFATC1"	1.26143673536247	1.57167716110809	1.10777274407763
"NFATC2"	1.16532273280917	1.31333615616857	1.04251334372292
"NFATC2IP"	1.30104570525624	1.30157833096	1.39012199277167
