"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"MGH64.P16.H04_Stroma_13"	"MGH64.P16.H04"	"Stroma"	"13"
"MGH64.P16.H05_Tumor_3"	"MGH64.P16.H05"	"Tumor"	"3"
"MGH64.P16.H06_Tumor_3"	"MGH64.P16.H06"	"Tumor"	"3"
"MGH64.P16.H07_Tumor_5"	"MGH64.P16.H07"	"Tumor"	"5"
"MGH64.P16.H08_Tumor_3"	"MGH64.P16.H08"	"Tumor"	"3"
"MGH64.P16.H09_Tumor_5"	"MGH64.P16.H09"	"Tumor"	"5"
"MGH64.P16.H10_Tumor_3"	"MGH64.P16.H10"	"Tumor"	"3"
"MGH64.P16.H11_Tumor_3"	"MGH64.P16.H11"	"Tumor"	"3"
"MGH64.P2.A01_Tumor_3"	"MGH64.P2.A01"	"Tumor"	"3"
"MGH64.P2.A02_Tumor_3"	"MGH64.P2.A02"	"Tumor"	"3"
"MGH64.P2.A03_Tumor_3"	"MGH64.P2.A03"	"Tumor"	"3"
"MGH64.P2.A04_Tumor_3"	"MGH64.P2.A04"	"Tumor"	"3"
"MGH64.P2.A05_Tumor_3"	"MGH64.P2.A05"	"Tumor"	"3"
"MGH64.P2.A06_Tumor_3"	"MGH64.P2.A06"	"Tumor"	"3"
"MGH64.P2.A07_Tumor_5"	"MGH64.P2.A07"	"Tumor"	"5"
"MGH64.P2.A08_Tumor_3"	"MGH64.P2.A08"	"Tumor"	"3"
"MGH64.P2.A09_Tumor_3"	"MGH64.P2.A09"	"Tumor"	"3"
"MGH64.P2.A10_Tumor_3"	"MGH64.P2.A10"	"Tumor"	"3"
"MGH64.P2.A11_Tumor_3"	"MGH64.P2.A11"	"Tumor"	"3"
"MGH64.P2.A12_Tumor_3"	"MGH64.P2.A12"	"Tumor"	"3"
"MGH64.P2.B01_Tumor_3"	"MGH64.P2.B01"	"Tumor"	"3"
"MGH64.P2.B02_Tumor_3"	"MGH64.P2.B02"	"Tumor"	"3"
"MGH64.P2.B03_Tumor_3"	"MGH64.P2.B03"	"Tumor"	"3"
"MGH64.P2.B04_Tumor_5"	"MGH64.P2.B04"	"Tumor"	"5"
"MGH64.P2.B05_Tumor_3"	"MGH64.P2.B05"	"Tumor"	"3"
"MGH64.P2.B06_Tumor_3"	"MGH64.P2.B06"	"Tumor"	"3"
"MGH64.P2.B08_Tumor_3"	"MGH64.P2.B08"	"Tumor"	"3"
"MGH64.P2.B09_Tumor_3"	"MGH64.P2.B09"	"Tumor"	"3"
"MGH64.P2.B10_Tumor_3"	"MGH64.P2.B10"	"Tumor"	"3"
"MGH64.P2.B11_Tumor_3"	"MGH64.P2.B11"	"Tumor"	"3"
"MGH64.P2.B12_Tumor_3"	"MGH64.P2.B12"	"Tumor"	"3"
"MGH64.P2.C01_Tumor_3"	"MGH64.P2.C01"	"Tumor"	"3"
"MGH64.P2.C02_Tumor_3"	"MGH64.P2.C02"	"Tumor"	"3"
"MGH64.P2.C03_Tumor_3"	"MGH64.P2.C03"	"Tumor"	"3"
"MGH64.P2.C04_Tumor_3"	"MGH64.P2.C04"	"Tumor"	"3"
"MGH64.P2.C05_Tumor_3"	"MGH64.P2.C05"	"Tumor"	"3"
"MGH64.P2.C06_Stroma_13"	"MGH64.P2.C06"	"Stroma"	"13"
"MGH64.P2.C07_Tumor_3"	"MGH64.P2.C07"	"Tumor"	"3"
"MGH64.P2.C08_Tumor_3"	"MGH64.P2.C08"	"Tumor"	"3"
"MGH64.P2.C09_Tumor_5"	"MGH64.P2.C09"	"Tumor"	"5"
"MGH64.P2.C10_Tumor_3"	"MGH64.P2.C10"	"Tumor"	"3"
"MGH64.P2.C11_Tumor_3"	"MGH64.P2.C11"	"Tumor"	"3"
"MGH64.P2.C12_Tumor_5"	"MGH64.P2.C12"	"Tumor"	"5"
"MGH64.P2.D01_Tumor_3"	"MGH64.P2.D01"	"Tumor"	"3"
"MGH64.P2.D02_Tumor_5"	"MGH64.P2.D02"	"Tumor"	"5"
"MGH64.P2.D03_Tumor_5"	"MGH64.P2.D03"	"Tumor"	"5"
"MGH64.P2.D04_Tumor_3"	"MGH64.P2.D04"	"Tumor"	"3"
"MGH64.P2.D05_Tumor_5"	"MGH64.P2.D05"	"Tumor"	"5"
"MGH64.P2.D06_Tumor_3"	"MGH64.P2.D06"	"Tumor"	"3"
"MGH64.P2.D07_Tumor_3"	"MGH64.P2.D07"	"Tumor"	"3"
"MGH64.P2.D08_Tumor_3"	"MGH64.P2.D08"	"Tumor"	"3"
"MGH64.P2.D09_Tumor_5"	"MGH64.P2.D09"	"Tumor"	"5"
"MGH64.P2.D10_Tumor_3"	"MGH64.P2.D10"	"Tumor"	"3"
"MGH64.P2.D11_Tumor_3"	"MGH64.P2.D11"	"Tumor"	"3"
"MGH64.P2.E01_Tumor_5"	"MGH64.P2.E01"	"Tumor"	"5"
"MGH64.P2.E02_Tumor_5"	"MGH64.P2.E02"	"Tumor"	"5"
"MGH64.P2.E03_Tumor_5"	"MGH64.P2.E03"	"Tumor"	"5"
"MGH64.P2.E06_Tumor_3"	"MGH64.P2.E06"	"Tumor"	"3"
"MGH64.P2.E07_Tumor_3"	"MGH64.P2.E07"	"Tumor"	"3"
"MGH64.P2.E08_Tumor_3"	"MGH64.P2.E08"	"Tumor"	"3"
"MGH64.P2.E09_Tumor_3"	"MGH64.P2.E09"	"Tumor"	"3"
"MGH64.P2.E10_Tumor_12"	"MGH64.P2.E10"	"Tumor"	"12"
"MGH64.P2.E11_Tumor_5"	"MGH64.P2.E11"	"Tumor"	"5"
"MGH64.P2.E12_Tumor_3"	"MGH64.P2.E12"	"Tumor"	"3"
"MGH64.P2.F01_Tumor_3"	"MGH64.P2.F01"	"Tumor"	"3"
"MGH64.P2.F02_Tumor_3"	"MGH64.P2.F02"	"Tumor"	"3"
"MGH64.P2.F03_Tumor_3"	"MGH64.P2.F03"	"Tumor"	"3"
"MGH64.P2.F04_Tumor_3"	"MGH64.P2.F04"	"Tumor"	"3"
"MGH64.P2.F05_Tumor_3"	"MGH64.P2.F05"	"Tumor"	"3"
"MGH64.P2.F06_Tumor_3"	"MGH64.P2.F06"	"Tumor"	"3"
"MGH64.P2.F07_Tumor_12"	"MGH64.P2.F07"	"Tumor"	"12"
"MGH64.P2.F09_Tumor_3"	"MGH64.P2.F09"	"Tumor"	"3"
"MGH64.P2.F10_Tumor_3"	"MGH64.P2.F10"	"Tumor"	"3"
"MGH64.P2.F11_Tumor_3"	"MGH64.P2.F11"	"Tumor"	"3"
"MGH64.P2.F12_Tumor_3"	"MGH64.P2.F12"	"Tumor"	"3"
"MGH64.P2.G01_Tumor_3"	"MGH64.P2.G01"	"Tumor"	"3"
"MGH64.P2.G03_Tumor_3"	"MGH64.P2.G03"	"Tumor"	"3"
"MGH64.P2.G04_Tumor_3"	"MGH64.P2.G04"	"Tumor"	"3"
"MGH64.P2.G05_Tumor_3"	"MGH64.P2.G05"	"Tumor"	"3"
"MGH64.P2.G06_Tumor_3"	"MGH64.P2.G06"	"Tumor"	"3"
"MGH64.P2.G07_Tumor_3"	"MGH64.P2.G07"	"Tumor"	"3"
"MGH64.P2.G09_Tumor_3"	"MGH64.P2.G09"	"Tumor"	"3"
"MGH64.P2.G10_Tumor_3"	"MGH64.P2.G10"	"Tumor"	"3"
"MGH64.P2.G11_Tumor_3"	"MGH64.P2.G11"	"Tumor"	"3"
"MGH64.P2.G12_Tumor_3"	"MGH64.P2.G12"	"Tumor"	"3"
